FECHA;ACTIVIDAD;TERRITORIAL;SERVICIO;IDIOMA;OFRECIDAS;ATENDIDAS;ABANDONADAS;DESCONECTADAS;AHT;NDA;PREVISION;DESV. OFRECIDAS VS PREVISION
02/09/2024;Cita previa;Mediterráneo;Citas;Inglés;11;10;0;1;00:03:25;90,91%;;0,00%
02/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
02/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;1075;1024;46;5;00:04:08;95,26%;1400,256881;-23,23%
02/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;31;31;0;0;00:04:43;100,00%;;0,00%
02/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;5;3;0;2;00:08:04;60,00%;;0,00%
02/09/2024;Vithas 900;Global;Información;Castellano;64;59;5;0;00:03:17;92,19%;58,57146129;9,27%
03/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,591828544;-100,00%
03/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,295914272;-100,00%
03/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,345233317;-100,00%
03/09/2024;Cita previa;Andalucía;Citas;Castellano;3236;3138;90;8;00:03:48;96,97%;3612,892439;-10,43%
03/09/2024;Cita previa;Andalucía;Citas;Inglés;83;72;5;6;00:02:39;86,75%;;0,00%
03/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;895;887;8;0;00:03:59;99,11%;931,7706785;-3,95%
03/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;14;9;4;1;00:05:26;64,29%;;0,00%
03/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;3330;3216;88;26;00:04:05;96,58%;3151,599608;5,66%
03/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;4;2;2;0;00:03:41;50,00%;;0,00%
03/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;785;754;24;7;00:04:28;96,05%;873,4661824;-10,13%
03/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Cita previa;Mediterráneo;Citas;Castellano;3160;3013;136;11;00:03:53;95,35%;3193,55139;-1,05%
03/09/2024;Cita previa;Mediterráneo;Citas;Catalán;242;235;7;0;00:04:05;97,11%;;0,00%
03/09/2024;Cita previa;Mediterráneo;Citas;Inglés;22;19;1;2;00:05:40;86,36%;;0,00%
03/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
03/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;995;963;29;3;00:04:07;96,78%;1116,02925;-10,84%
03/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;26;25;1;0;00:03:51;96,15%;;0,00%
03/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;2;1;1;0;00:00:49;50,00%;;0,00%
03/09/2024;Vithas 900;Global;Información;Castellano;55;54;1;0;00:03:19;98,18%;47,24764544;16,41%
04/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
04/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
04/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,551600822;-100,00%
04/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,275800411;-100,00%
04/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,321767146;-100,00%
04/09/2024;Cita previa;Andalucía;Citas;Castellano;2781;2668;91;22;00:03:53;95,94%;3479,274391;-20,07%
04/09/2024;Cita previa;Andalucía;Citas;Inglés;68;52;6;10;00:03:28;76,47%;;0,00%
04/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
04/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;743;726;15;2;00:04:25;97,71%;897,4335579;-17,21%
04/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;14;9;2;3;00:05:21;64,29%;;0,00%
04/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
04/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;3017;2888;107;22;00:04:14;95,72%;3021,481364;-0,15%
04/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;1;1;0;0;00:03:21;100,00%;;0,00%
04/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
04/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;726;700;24;2;00:04:31;96,42%;836,0622346;-13,16%
04/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;1;0;1;0;00:00:00;0,00%;;0,00%
04/09/2024;Cita previa;Mediterráneo;Citas;Castellano;2969;2784;149;36;00:04:05;93,77%;2939,839831;0,99%
04/09/2024;Cita previa;Mediterráneo;Citas;Catalán;206;201;5;0;00:04:12;97,57%;;0,00%
04/09/2024;Cita previa;Mediterráneo;Citas;Inglés;11;9;0;2;00:04:15;81,82%;;0,00%
04/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
04/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;955;903;43;9;00:03:55;94,55%;1020,913074;-6,46%
04/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;38;36;1;1;00:04:09;94,74%;;0,00%
04/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;5;4;1;0;00:01:32;80,00%;;0,00%
04/09/2024;Vithas 900;Global;Información;Castellano;70;68;2;0;00:02:56;97,14%;44,03613231;58,96%
05/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
05/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
05/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,506233507;-100,00%
05/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,253116753;-100,00%
05/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,295302879;-100,00%
05/09/2024;Cita previa;Andalucía;Citas;Castellano;2714;2580;109;25;00:03:51;95,06%;3091,204349;-12,20%
05/09/2024;Cita previa;Andalucía;Citas;Inglés;61;49;5;7;00:03:07;80,33%;;0,00%
05/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
05/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;693;671;21;1;00:04:13;96,83%;801,6155545;-13,55%
05/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;21;14;4;3;00:05:11;66,67%;;0,00%
05/09/2024;Cita previa;Área Privada;Vithas PRI;Castellano;1;1;0;0;00:03:30;100,00%;;0,00%
05/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;1;1;0;0;00:15:57;100,00%;;0,00%
05/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;2774;2604;140;30;00:04:12;93,87%;2757,219715;0,61%
05/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;1;1;0;0;00:00:44;100,00%;;0,00%
05/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
05/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;681;650;28;3;00:04:28;95,45%;762,8983952;-10,74%
05/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;0;0;0;0;00:00:00;0,00%;;0,00%
05/09/2024;Cita previa;Mediterráneo;Citas;Castellano;2616;2420;160;36;00:04:02;92,51%;2653,753233;-1,42%
05/09/2024;Cita previa;Mediterráneo;Citas;Catalán;178;172;4;2;00:04:25;96,63%;;0,00%
05/09/2024;Cita previa;Mediterráneo;Citas;Inglés;14;13;1;0;00:03:08;92,86%;;0,00%
05/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
05/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;892;850;37;5;00:04:07;95,29%;921,7498435;-3,23%
05/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;14;14;0;0;00:04:47;100,00%;;0,00%
05/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;3;1;2;0;00:00:53;33,33%;;0,00%
05/09/2024;Vithas 900;Global;Información;Castellano;78;77;1;0;00:03:36;98,72%;40,41430829;93,00%
06/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
06/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
06/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,449985339;-100,00%
06/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,22499267;-100,00%
06/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,262491448;-100,00%
06/09/2024;Cita previa;Andalucía;Citas;Castellano;2475;2374;84;17;00:03:51;95,92%;2381,902049;3,91%
06/09/2024;Cita previa;Andalucía;Citas;Inglés;66;49;8;9;00:02:35;74,24%;;0,00%
06/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
06/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;619;601;16;2;00:03:59;97,09%;621,0533062;-0,33%
06/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;14;10;3;1;00:05:27;71,43%;;0,00%
06/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
06/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;2293;2196;85;12;00:04:07;95,77%;2169,789147;5,68%
06/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;7;2;2;3;00:05:42;28,57%;;0,00%
06/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
06/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;537;496;34;7;00:04:19;92,36%;600,4726105;-10,57%
06/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;1;1;0;0;00:01:22;100,00%;;0,00%
06/09/2024;Cita previa;Mediterráneo;Citas;Castellano;2032;1914;103;15;00:04:05;94,19%;1960,397196;3,65%
06/09/2024;Cita previa;Mediterráneo;Citas;Catalán;153;149;4;0;00:04:24;97,39%;;0,00%
06/09/2024;Cita previa;Mediterráneo;Citas;Inglés;16;14;0;2;00:04:52;87,50%;;0,00%
06/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
06/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;724;684;25;15;00:04:12;94,48%;670,6015643;7,96%
06/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;17;17;0;0;00:05:08;100,00%;;0,00%
06/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;3;2;1;0;00:16:46;66,67%;;0,00%
06/09/2024;Vithas 900;Global;Información;Castellano;42;41;1;0;00:04:17;97,62%;35,92382959;16,91%
09/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,735339185;-100,00%
09/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;1;0;1;0;00:00:00;0,00%;0,367669592;171,98%
09/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,428947858;-100,00%
09/09/2024;Cita previa;Andalucía;Citas;Castellano;3537;3396;112;29;00:03:43;96,01%;4607,367279;-23,23%
09/09/2024;Cita previa;Andalucía;Citas;Inglés;55;47;3;5;00:02:39;85,45%;;0,00%
09/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;909;892;16;1;00:03:57;98,13%;1146,991269;-20,75%
09/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;23;14;2;7;00:04:09;60,87%;;0,00%
09/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;3541;3395;114;32;00:04:00;95,88%;3760,655247;-5,84%
09/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;2;1;1;0;00:06:23;50,00%;;0,00%
09/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;864;825;33;6;00:04:16;95,49%;1087,347331;-20,54%
09/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Cita previa;Mediterráneo;Citas;Castellano;3961;3708;211;42;00:03:50;93,61%;4135,426855;-4,22%
09/09/2024;Cita previa;Mediterráneo;Citas;Catalán;318;309;9;0;00:03:49;97,17%;;0,00%
09/09/2024;Cita previa;Mediterráneo;Citas;Inglés;18;15;1;2;00:05:12;83,33%;;0,00%
09/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
09/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;1174;1130;35;9;00:03:56;96,25%;1403,439283;-16,35%
09/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;53;52;0;1;00:03:48;98,11%;;0,00%
09/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;5;3;0;2;00:04:27;60,00%;;0,00%
09/09/2024;Vithas 900;Global;Información;Castellano;64;61;3;0;00:03:47;95,31%;58,70457825;9,02%
10/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
10/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
10/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,609864641;-100,00%
10/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,304932321;-100,00%
10/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,355754374;-100,00%
10/09/2024;Cita previa;Andalucía;Citas;Castellano;3345;3190;130;25;00:03:45;95,37%;3814,822552;-12,32%
10/09/2024;Cita previa;Andalucía;Citas;Inglés;48;35;6;7;00:04:30;72,92%;;0,00%
10/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
10/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;827;809;16;2;00:04:17;97,82%;991,3494493;-16,58%
10/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;13;10;3;0;00:03:59;76,92%;;0,00%
10/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
10/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;3402;3246;132;24;00:04:02;95,41%;3340,58406;1,84%
10/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;3;2;1;0;00:03:26;66,67%;;0,00%
10/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;3;0;2;1;00:00:00;0,00%;;0,00%
10/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;823;783;34;6;00:04:20;95,14%;918,3305583;-10,38%
10/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;3;2;1;0;00:06:52;66,67%;;0,00%
10/09/2024;Cita previa;Mediterráneo;Citas;Castellano;3224;3035;159;30;00:03:56;94,14%;3290,875529;-2,03%
10/09/2024;Cita previa;Mediterráneo;Citas;Catalán;204;193;11;0;00:04:00;94,61%;;0,00%
10/09/2024;Cita previa;Mediterráneo;Citas;Inglés;32;30;0;2;00:03:53;93,75%;;0,00%
10/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
10/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;1109;1058;45;6;00:04:02;95,40%;1150,040472;-3,57%
10/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;39;39;0;0;00:03:36;100,00%;;0,00%
10/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;1;1;0;0;00:09:20;100,00%;;0,00%
10/09/2024;Vithas 900;Global;Información;Castellano;49;47;2;0;00:03:14;95,92%;48,6875272;0,64%
11/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
11/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
11/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,585031175;-100,00%
11/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,292515588;-100,00%
11/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,341268185;-100,00%
11/09/2024;Cita previa;Andalucía;Citas;Castellano;2980;2860;100;20;00:03:47;95,97%;3690,139506;-19,24%
11/09/2024;Cita previa;Andalucía;Citas;Inglés;46;43;1;2;00:05:07;93,48%;;0,00%
11/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
11/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;788;767;19;2;00:04:07;97,34%;951,8234705;-17,21%
11/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;20;15;3;2;00:03:51;75,00%;;0,00%
11/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
11/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;3084;2955;108;21;00:04:01;95,82%;3204,601447;-3,76%
11/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;2;2;0;0;00:06:08;100,00%;;0,00%
11/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
11/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;755;717;31;7;00:04:31;94,97%;886,7326731;-14,86%
11/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;2;2;0;0;00:01:30;100,00%;;0,00%
11/09/2024;Cita previa;Mediterráneo;Citas;Castellano;2916;2755;137;24;00:03:55;94,48%;2779,157531;4,92%
11/09/2024;Cita previa;Mediterráneo;Citas;Catalán;12;11;1;0;00:02:35;91,67%;;0,00%
11/09/2024;Cita previa;Mediterráneo;Citas;Inglés;16;16;0;0;00:06:54;100,00%;;0,00%
11/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
11/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;942;892;45;5;00:03:58;94,69%;1039,606437;-9,39%
11/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;4;4;0;0;00:02:14;100,00%;;0,00%
11/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;3;3;0;0;00:06:14;100,00%;;0,00%
11/09/2024;Vithas 900;Global;Información;Castellano;74;72;2;0;00:03:21;97,30%;46,70498881;58,44%
12/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
12/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
12/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,525242275;-100,00%
12/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,262621137;-100,00%
12/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,306391327;-100,00%
12/09/2024;Cita previa;Andalucía;Citas;Castellano;2764;2613;127;24;00:03:57;94,54%;3207,27724;-13,82%
12/09/2024;Cita previa;Andalucía;Citas;Inglés;41;40;0;1;00:03:30;97,56%;;0,00%
12/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
12/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;742;720;21;1;00:04:18;97,04%;831,7157433;-10,79%
12/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;12;12;0;0;00:03:36;100,00%;;0,00%
12/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
12/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;2951;2821;110;20;00:03:58;95,59%;2860,751681;3,15%
12/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;2;1;1;0;00:06:58;50,00%;;0,00%
12/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
12/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;841;806;27;8;00:04:32;95,84%;791,5447776;6,25%
12/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;1;0;1;0;00:00:00;0,00%;;0,00%
12/09/2024;Cita previa;Mediterráneo;Citas;Castellano;2683;2532;131;20;00:03:56;94,37%;2790,67837;-3,86%
12/09/2024;Cita previa;Mediterráneo;Citas;Catalán;290;277;13;0;00:03:50;95,52%;;0,00%
12/09/2024;Cita previa;Mediterráneo;Citas;Inglés;12;9;2;1;00:03:42;75,00%;;0,00%
12/09/2024;Cita previa;Mediterráneo;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
12/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Castellano;1012;967;35;10;00:04:09;95,55%;961,444405;5,26%
12/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Catalán;36;35;0;1;00:03:50;97,22%;;0,00%
12/09/2024;Cita previa;Mediterráneo;Radiodiagnóstico;Inglés;3;2;1;0;00:04:22;66,67%;;0,00%
12/09/2024;Vithas 900;Global;Información;Castellano;60;58;2;0;00:03:08;96,67%;41,93184161;43,09%
13/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
13/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
13/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,466882022;-100,00%
13/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,233441011;-100,00%
13/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,272347846;-100,00%
13/09/2024;Cita previa;Andalucía;Citas;Castellano;2317;2156;125;36;00:03:49;93,05%;2471,341058;-6,25%
